Id,SalePrice
2658,181789.9798308393
2718,181789.9798308393
2414,181789.9798308393
1989,181789.9798308393
625,181789.9798308393
333,181789.9798308393
1327,181789.9798308393
858,181789.9798308393
95,181789.9798308393
1568,181789.9798308393
2482,181789.9798308393
1364,181789.9798308393
2584,181789.9798308393
818,181789.9798308393
2673,181789.9798308393
2089,181789.9798308393
1297,181789.9798308393
790,181789.9798308393
2616,181789.9798308393
720,181789.9798308393
222,181789.9798308393
557,181789.9798308393
1148,181789.9798308393
2766,181789.9798308393
534,181789.9798308393
1452,181789.9798308393
630,181789.9798308393
2648,181789.9798308393
125,181789.9798308393
1904,181789.9798308393
1670,181789.9798308393
756,181789.9798308393
717,181789.9798308393
1032,181789.9798308393
852,181789.9798308393
1731,181789.9798308393
2639,181789.9798308393
2071,181789.9798308393
1267,181789.9798308393
1851,181789.9798308393
567,181789.9798308393
2439,181789.9798308393
1898,181789.9798308393
647,181789.9798308393
2256,181789.9798308393
979,181789.9798308393
1444,181789.9798308393
2485,181789.9798308393
157,181789.9798308393
88,181789.9798308393
2003,181789.9798308393
186,181789.9798308393
1425,181789.9798308393
2695,181789.9798308393
738,181789.9798308393
395,181789.9798308393
1353,181789.9798308393
1878,181789.9798308393
390,181789.9798308393
1456,181789.9798308393
1103,181789.9798308393
1387,181789.9798308393
2070,181789.9798308393
1199,181789.9798308393
2479,181789.9798308393
501,181789.9798308393
2362,181789.9798308393
1718,181789.9798308393
2188,181789.9798308393
1483,181789.9798308393
2557,181789.9798308393
437,181789.9798308393
2224,181789.9798308393
1628,181789.9798308393
397,181789.9798308393
587,181789.9798308393
971,181789.9798308393
2611,181789.9798308393
1887,181789.9798308393
2399,181789.9798308393
2148,181789.9798308393
304,181789.9798308393
1997,181789.9798308393
2817,181789.9798308393
1431,181789.9798308393
427,181789.9798308393
263,181789.9798308393
598,181789.9798308393
2895,181789.9798308393
687,181789.9798308393
1822,181789.9798308393
2191,181789.9798308393
179,181789.9798308393
1009,181789.9798308393
2010,181789.9798308393
1991,181789.9798308393
1411,181789.9798308393
1721,181789.9798308393
1144,181789.9798308393
593,181789.9798308393
575,181789.9798308393
1249,181789.9798308393
1604,181789.9798308393
1064,181789.9798308393
1923,181789.9798308393
1988,181789.9798308393
2325,181789.9798308393
114,181789.9798308393
2700,181789.9798308393
217,181789.9798308393
343,181789.9798308393
386,181789.9798308393
2005,181789.9798308393
2908,181789.9798308393
1814,181789.9798308393
2446,181789.9798308393
208,181789.9798308393
1679,181789.9798308393
822,181789.9798308393
6,181789.9798308393
1781,181789.9798308393
2397,181789.9798308393
2340,181789.9798308393
1618,181789.9798308393
2843,181789.9798308393
1061,181789.9798308393
2786,181789.9798308393
1935,181789.9798308393
1341,181789.9798308393
521,181789.9798308393
2136,181789.9798308393
996,181789.9798308393
227,181789.9798308393
135,181789.9798308393
1167,181789.9798308393
294,181789.9798308393
1776,181789.9798308393
540,181789.9798308393
1717,181789.9798308393
2303,181789.9798308393
116,181789.9798308393
127,181789.9798308393
1371,181789.9798308393
